Center of Bar,Number of members
0.36552901023890794, 1
0.4392491467576791, 2
0.5129692832764505, 4
0.5866894197952218, 10
0.6604095563139932, 11
0.7402730375426622, 7
0.8093856655290103, 7
0.8892491467576794, 9
0.964505119453925, 6
1.0382252559726965, 7
1.1134812286689422, 5
1.1872013651877134, 9
1.2639931740614339, 2
1.337713310580205, 3
1.4129692832764502, 2
1.4882252559726963, 0
1.563481228668942, 1
1.6372013651877135, 0
1.7124573378839587, 1
