CMIP5 trend, Source
0.10528712730377854, HadlSST
0.12958415668157353, NCEP/NCAR
0.3523069259780284, ERSSTv5
0.4110247469743662, ECMWF/ORAS4
0.4312673450508788, CM-ECMWF world
0.6782920701301118, CM-ECMWF C-RH
0.8321732561894806, CM-ECMWF C-RH W
0.8648501004439255, CM-CMIP5 world
0.8891471298217204, CMIP5 multimodel mean
